City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,6.86,97,100,16.64,TF,1699921719
1,savanna-la-mar,18.219,-78.1332,28.97,89,39,2.21,JM,1699921720
2,bethel,41.3712,-73.414,6.2,73,75,1.54,US,1699921631
3,vilyuchinsk,52.9306,158.4028,-2.26,74,100,3.16,RU,1699921723
4,grytviken,-54.2811,-36.5092,2.38,98,100,3.57,GS,1699921725
5,waitangi,-43.9535,-176.5597,13.2,84,4,9.38,NZ,1699921726
6,olonkinbyen,70.9221,-8.7187,-1.79,70,92,2.87,SJ,1699921728
7,talodi,10.6325,30.3797,28.69,40,85,1.04,SD,1699921729
8,newman,37.3138,-121.0208,23.49,46,55,0.45,US,1699921733
9,college,64.8569,-147.8028,-2.74,94,100,2.57,US,1699921736
10,guerrero negro,27.9769,-114.0611,22.46,46,61,4.98,MX,1699921738
11,fort st. john,56.2499,-120.8529,-4.06,93,75,6.17,CA,1699921244
12,puerto natales,-51.7236,-72.4875,1.97,77,53,3.93,CL,1699921744
13,freeport,40.6576,-73.5832,9.03,69,75,3.09,US,1699921745
14,adamstown,-25.066,-130.1015,22.83,84,94,7.36,PN,1699921747
15,isafjordur,66.0755,-23.124,1.77,86,91,3.29,IS,1699921748
16,taoudenni,22.6783,-3.9836,25.29,18,4,6.23,ML,1699921749
17,papatowai,-46.5619,169.4708,17.28,46,19,4.72,NZ,1699921750
18,blackmans bay,-43.0167,147.3167,15.07,51,62,0.89,AU,1699921752
19,bilibino,68.0546,166.4372,-28.08,100,100,2.0,RU,1699921753
20,baotou,40.6522,109.8222,-2.51,34,0,1.21,CN,1699921754
21,sulechow,52.0836,15.6251,9.27,44,88,6.52,PL,1699921755
22,olyokminsk,60.3736,120.4264,-10.16,95,100,1.99,RU,1699921756
23,ribeira grande,38.5167,-28.7,15.99,90,100,0.89,PT,1699921757
24,yellowknife,62.456,-114.3525,-6.71,86,100,2.06,CA,1699921758
25,murun-kuren,49.6342,100.1625,-8.0,77,93,1.42,MN,1699921759
26,sikonge,-5.6333,32.7667,18.65,95,100,1.11,TZ,1699921761
27,fomboni,-12.28,43.7425,27.46,80,68,3.51,KM,1699921174
28,talnakh,69.4865,88.3972,-16.55,95,100,5.71,RU,1699921763
29,hawaiian paradise park,19.5933,-154.9731,27.73,70,40,3.6,US,1699921765
30,ushuaia,-54.8,-68.3,2.81,75,40,8.75,AR,1699921766
31,glenfield park,-35.1372,147.334,24.08,20,100,4.06,AU,1699921767
32,iqaluit,63.7506,-68.5145,-17.95,64,0,2.57,CA,1699921768
33,nar'yan-mar,67.6713,53.087,-11.05,88,100,4.02,RU,1699921770
34,ishpeming,46.4885,-87.6676,2.25,81,6,2.79,US,1699921771
35,govindgarh,27.5,76.9833,19.27,47,100,0.72,IN,1699921773
36,wailua homesteads,22.0669,-159.378,28.24,79,100,6.17,US,1699921774
37,bikenibeu village,1.3673,173.1241,30.98,79,75,4.12,KI,1699921775
38,whitehorse,60.7161,-135.0538,-4.43,85,100,7.72,CA,1699921776
39,lata,40.1629,-8.3327,15.51,94,47,1.2,PT,1699921777
40,carnarvon,-24.8667,113.6333,21.2,69,59,3.28,AU,1699921778
41,cangzhou,38.3167,116.8667,2.23,49,90,2.6,CN,1699921779
42,khandyga,62.6667,135.6,-32.12,100,59,1.41,RU,1699921780
43,mermoz boabab,14.7065,-17.4758,25.88,78,0,3.09,SN,1699921781
44,udachny,66.4167,112.4,-5.86,85,100,3.92,RU,1699921782
45,hithadhoo,-0.6,73.0833,26.99,81,88,3.63,MV,1699921783
46,lexington,37.9887,-84.4777,11.94,56,48,0.45,US,1699921754
47,parabel',58.6978,81.4825,-5.61,94,23,4.47,RU,1699921785
48,vila velha,-20.3297,-40.2925,26.97,82,0,5.81,BR,1699921646
49,salmon arm,50.6998,-119.3024,8.57,80,59,2.06,CA,1699921787
50,longyearbyen,78.2186,15.6401,-10.09,79,100,3.6,SJ,1699921788
51,qurayyat,31.3318,37.3428,17.1,63,40,0.0,SA,1699921789
52,nemuro,43.3236,145.575,4.38,61,59,8.34,JP,1699921790
53,santiago de cuba,20.0247,-75.8219,26.06,89,75,2.57,CU,1699921790
54,kone,-21.0595,164.8658,27.88,40,11,3.45,NC,1699921791
55,valognes,49.5088,-1.4705,13.66,88,75,8.75,FR,1699921793
56,invercargill,-46.4,168.35,18.9,54,51,4.47,NZ,1699921795
57,tralee,52.2704,-9.7026,11.24,87,79,7.17,IE,1699921795
58,kapuskasing,49.4169,-82.4331,1.05,93,100,4.12,CA,1699921796
59,indre arna,60.4247,5.4764,3.14,74,12,2.87,NO,1699921797
60,ozalp,38.6548,43.993,5.82,62,95,1.83,TR,1699921790
61,les herbiers,46.8667,-1.0167,14.84,88,100,5.64,FR,1699921802
62,haiku-pauwela,20.9219,-156.3051,28.43,57,20,11.32,US,1699921804
63,bocas del toro,9.3333,-82.25,26.17,90,100,2.74,PA,1699921805
64,cacheu,12.2706,-16.1658,23.05,74,26,1.78,GW,1699921806
65,kingscliff,-28.2667,153.5667,26.52,64,75,3.6,AU,1699921807
66,vegreville,53.5001,-112.0518,2.17,69,100,1.54,CA,1699921715
67,holualoa,19.6228,-155.9522,26.39,76,40,5.14,US,1699921767
68,dudinka,69.4058,86.1778,-16.32,90,8,3.5,RU,1699921810
69,kodiak,57.79,-152.4072,6.73,49,40,7.2,US,1699921695
70,kutum,14.2,24.6667,23.65,33,65,4.04,SD,1699921230
71,bereket,39.2446,55.5154,14.5,39,12,4.15,TM,1699921813
72,magadan,59.5667,150.8,-14.05,73,75,5.64,RU,1699921814
73,coracao de jesus,-16.6853,-44.365,25.12,32,0,0.91,BR,1699921815
74,sitka,57.0531,-135.33,5.94,81,100,3.6,US,1699921817
75,chonchi,-42.6128,-73.8092,6.56,88,68,1.53,CL,1699921819
76,susuman,62.7833,148.1667,-30.13,98,77,0.44,RU,1699921820
77,albany,42.6001,-73.9662,2.97,75,100,0.67,US,1699921620
78,tolanaro,-25.0319,46.9987,22.04,88,40,2.06,MG,1699921822
79,edinburgh of the seven seas,-37.0676,-12.3116,13.62,77,8,11.32,SH,1699921823
80,ko lanta,7.5336,99.0865,26.38,82,100,4.61,TH,1699921824
81,sao tome,0.3365,6.7273,26.47,87,43,1.82,ST,1699921825
82,luderitz,-26.6481,15.1594,15.28,81,0,1.94,NA,1699921826
83,qusmuryn,52.4503,64.6311,4.45,88,100,8.03,KZ,1699921827
84,abu jibeha,11.4562,31.2285,29.41,33,100,3.15,SD,1699921828
85,worland,44.0169,-107.9554,12.16,28,0,2.24,US,1699921829
86,bredasdorp,-34.5322,20.0403,14.81,81,9,7.13,ZA,1699921830
87,kismayo,-0.3582,42.5454,26.99,80,100,3.28,SO,1699921831
88,tamanrasset,22.785,5.5228,14.95,25,0,2.06,DZ,1699921832
89,chernyshevskiy,63.0128,112.4714,-10.67,96,100,2.68,RU,1699921833
90,phan rang-thap cham,11.5667,108.9833,27.14,77,92,3.4,VN,1699921834
91,alice springs,-23.7,133.8833,31.75,15,20,5.14,AU,1699921784
92,kyaikkami,16.08,97.5675,26.29,82,93,3.79,MM,1699921835
93,notodden,59.5594,9.2585,-0.14,86,100,2.7,NO,1699921836
94,perdoes,-21.0908,-45.0914,24.36,52,12,2.68,BR,1699921837
95,lompoc,34.6391,-120.4579,19.08,67,0,4.47,US,1699921837
96,cavelossim,15.1726,73.9419,23.99,66,100,3.2,IN,1699921838
97,lanark,55.6737,-3.7817,7.19,96,100,0.87,GB,1699921839
98,sao miguel do araguaia,-13.275,-50.1628,29.67,33,7,2.25,BR,1699921786
99,tangalle,6.024,80.7911,25.44,87,99,1.9,LK,1699921251
100,paracuru,-3.41,-39.0306,27.84,78,98,4.67,BR,1699921841
101,puttalam,8.0362,79.8283,24.75,90,90,2.31,LK,1699921842
102,alaghsas,17.0187,8.0168,23.4,15,5,4.87,NE,1699921843
103,zilair,52.2332,57.4392,3.03,78,100,5.11,RU,1699921843
104,al hadd,26.2456,50.6542,26.14,61,0,1.54,BH,1699921844
105,margaret river,-33.95,115.0667,17.11,75,100,5.28,AU,1699921845
106,aasiaat,68.7098,-52.8699,-9.93,84,100,1.5,GL,1699921776
107,kokopo,-4.352,152.2633,29.25,62,75,2.36,PG,1699921846
108,port shepstone,-30.7414,30.455,17.69,73,100,5.81,ZA,1699921846
109,anapa,44.8908,37.3239,8.19,93,75,12.0,RU,1699921847
110,pindi gheb,33.2402,72.2661,17.41,55,0,1.23,PK,1699921848
111,kapa'a,22.0752,-159.319,28.99,79,100,6.17,US,1699921791
112,bathsheba,13.2167,-59.5167,28.34,74,20,9.26,BB,1699921849
113,tiksi,71.6872,128.8694,-14.36,91,100,3.07,RU,1699921782
114,thompson,55.7435,-97.8558,-1.91,86,100,2.06,CA,1699921851
115,ancud,-41.8697,-73.8203,6.74,71,28,4.2,CL,1699921851
116,hobyo,5.3505,48.5268,26.37,84,32,2.22,SO,1699921852
117,badger,64.8,-147.5333,-2.79,95,100,2.57,US,1699921787
118,dryden,49.7833,-92.7503,1.16,80,40,2.57,CA,1699921853
119,altai,46.3722,96.2583,-8.45,95,100,2.02,MN,1699921853
120,hermanus,-34.4187,19.2345,15.64,77,11,9.8,ZA,1699921854
121,utrik,11.2278,169.8474,28.16,81,100,7.99,MH,1699921854
122,tangerhutte,52.4333,11.8,10.28,77,100,7.83,DE,1699921855
123,anadyr,64.75,177.4833,-11.72,72,13,12.0,RU,1699921856
124,kourou,5.1552,-52.6478,26.03,87,11,3.75,GF,1699921807
125,lebu,-37.6167,-73.65,10.7,83,31,3.01,CL,1699921774
126,pacific grove,36.6177,-121.9166,17.06,77,0,3.13,US,1699921857
127,roma,43.2128,-75.4557,5.37,71,75,3.09,US,1699921586
128,port elizabeth,-33.918,25.5701,17.16,83,100,5.14,ZA,1699921794
129,havre,49.5833,0.3333,11.87,87,20,7.72,FR,1699921858
130,qaqortoq,60.7167,-46.0333,-5.14,93,100,1.62,GL,1699921859
131,atar,20.5169,-13.0499,26.75,13,5,4.65,MR,1699921859
132,ust-nera,64.5667,143.2,-28.83,97,59,2.16,RU,1699921860
133,iskateley,67.6803,53.1512,-11.1,88,100,4.02,RU,1699921861
134,barbacoas,1.6715,-78.1398,25.22,96,99,0.66,CO,1699921862
135,st. john's,47.5649,-52.7093,0.54,81,75,3.6,CA,1699921631
136,al qadarif,14.0349,35.3834,26.94,44,0,3.85,SD,1699921863
137,tsiombe,-25.3,45.4833,21.73,83,98,2.4,MG,1699921864
138,remire-montjoly,4.9167,-52.2667,26.02,89,0,0.51,GF,1699921784
139,brisas barra de suchiate,14.55,-92.2167,31.1,79,82,1.32,MX,1699921865
140,stanley,54.868,-1.6985,8.77,88,20,7.2,GB,1699921867
141,kyshtovka,56.555,76.6271,-0.37,77,100,4.02,RU,1699921867
142,egilsstadir,65.2653,-14.3948,1.95,87,75,4.63,IS,1699921868
143,cabo san lucas,22.8909,-109.9124,29.73,62,0,2.06,MX,1699921552
144,tahla,34.0485,-4.428,18.98,34,100,1.13,MA,1699921869
145,al bardiyah,31.7561,25.0865,20.4,67,0,7.38,LY,1699921870
146,miles city,46.4083,-105.8406,8.54,53,0,2.57,US,1699921871
147,aldinga beach,-35.2793,138.4604,17.9,83,100,4.17,AU,1699921872
148,kimbe,-5.5502,150.1429,31.43,54,100,1.3,PG,1699921872
149,amungan,15.3652,119.9582,29.48,64,97,2.31,PH,1699921874
150,karwar,14.8,74.1333,24.37,70,100,3.66,IN,1699921875
151,hasaki,35.7333,140.8333,14.05,38,0,4.32,JP,1699921876
152,codrington,-38.2667,141.9667,15.67,62,100,4.18,AU,1699921876
153,kohima,25.6667,94.1167,13.13,65,3,1.61,IN,1699921877
154,concordia,-31.393,-58.0209,17.66,99,96,3.58,AR,1699921681
155,caleta de carquin,-11.0925,-77.6267,19.93,86,10,4.7,PE,1699921878
156,wesel,51.6667,6.6167,12.81,89,100,10.31,DE,1699921879
157,gadzhiyevo,69.2551,33.3362,-8.77,96,87,1.01,RU,1699921880
158,smithers,54.7804,-127.1743,1.18,86,75,2.06,CA,1699921881
159,dwarka,22.2394,68.9678,25.63,41,97,4.92,IN,1699921881
160,jining,35.405,116.5814,4.57,31,75,3.24,CN,1699921882
161,shangzhi,45.2167,127.9667,-8.56,92,24,1.9,CN,1699921883
162,fale old settlement,-9.3852,-171.2468,26.49,89,100,6.38,TK,1699921885
163,tupaciguara,-18.5922,-48.705,27.27,31,46,0.44,BR,1699921628
164,petropavlovsk-kamchatsky,53.0452,158.6483,-3.08,74,0,12.52,RU,1699921855
165,porbandar,21.6422,69.6093,24.56,28,3,4.43,IN,1699921887
166,vryburg,-26.9566,24.7284,17.69,17,0,3.92,ZA,1699921888
167,hammerfest,70.6634,23.6821,-0.75,80,75,3.09,NO,1699921888
168,punta arenas,-53.15,-70.9167,3.06,70,20,8.23,CL,1699921770
169,mangaratiba,-22.9597,-44.0406,26.08,76,93,3.64,BR,1699921890
170,kirensk,57.7853,108.1119,-3.91,95,100,4.47,RU,1699921890
171,constantia,44.1833,28.65,3.38,49,0,4.19,RO,1699921725
172,pizarro,4.9533,-77.366,26.27,90,14,1.76,CO,1699921892
173,sisimiut,66.9395,-53.6735,-8.79,78,100,3.51,GL,1699921892
174,serowe,-22.3833,26.7167,16.98,78,59,6.0,BW,1699921893
175,ketchikan,55.3422,-131.6461,5.99,70,0,1.54,US,1699921739
176,igrim,63.1906,64.4162,-5.68,93,100,5.23,RU,1699921894
177,nantucket,41.2835,-70.0995,4.52,71,100,0.0,US,1699921696
178,lyubymivka,46.8106,33.5686,6.98,71,13,1.82,UA,1699921895
179,alofi,-19.0595,-169.9187,25.94,89,100,5.66,NU,1699921896
180,biscarrosse,44.3945,-1.1672,16.97,94,100,2.06,FR,1699921897
181,la passe,45.5549,-0.8967,16.13,95,100,6.01,FR,1699921897
182,new norfolk,-42.7826,147.0587,16.07,37,11,3.2,AU,1699921899
183,afaahiti,-17.75,-149.2833,27.93,89,99,5.98,PF,1699921899
184,chany,55.3121,76.7647,-0.03,94,89,2.38,RU,1699921900
185,pandan,14.0453,124.1694,27.58,85,98,7.01,PH,1699921901
186,ginir,7.1333,40.7,14.33,87,80,2.94,ET,1699921902
187,yaren,-0.5472,166.916,27.98,79,100,11.88,NR,1699921902
188,launceston,-41.45,147.1667,19.53,42,24,2.57,AU,1699921903
189,puerto baquerizo moreno,-0.9,-89.6,23.66,84,100,4.9,EC,1699921904
190,l'ancienne-lorette,46.7939,-71.3519,-0.78,81,40,1.54,CA,1699921750
191,ilhabela,-23.7781,-45.3581,25.2,88,48,0.91,BR,1699921906
192,antalaha,-14.9003,50.2788,22.11,88,81,1.58,MG,1699921906
193,antsiranana,-12.2787,49.2917,24.1,84,83,3.24,MG,1699921776
194,papao,-17.75,-149.55,28.82,91,94,6.45,PF,1699921908
195,nyurba,63.2842,118.3319,-12.67,97,100,2.33,RU,1699921908
196,mili,6.0815,171.735,28.18,82,100,7.04,MH,1699921910
197,tanjung pandan,-2.75,107.65,28.32,78,52,2.29,ID,1699921911
198,aykhal,66.0,111.5,-9.03,92,100,4.89,RU,1699921911
199,georgetown,5.4112,100.3354,26.96,89,20,2.06,MY,1699921812
200,praia da vitoria,38.7333,-27.0667,15.98,94,20,1.2,PT,1699921913
201,kayangel,8.0823,134.7173,28.75,78,63,6.87,PW,1699921914
202,puerto ayora,-0.7393,-90.3518,23.64,97,100,2.24,EC,1699921915
203,tazacorte,28.629,-17.9293,23.42,39,20,4.47,ES,1699921915
204,novodvinsk,64.4165,40.8122,-3.45,91,98,3.12,RU,1699921798
205,mount pearl,47.5166,-52.7813,0.08,82,75,3.6,CA,1699921917
206,veraval,20.9,70.3667,24.66,37,100,3.89,IN,1699921917
207,plettenberg bay,-34.0527,23.3716,13.86,87,0,4.42,ZA,1699921918
208,puerto san jose,13.9256,-90.8244,27.35,84,94,2.24,GT,1699921918
209,saint-philippe,-21.3585,55.7679,21.77,78,74,3.14,RE,1699921796
210,ad dabbah,18.05,30.95,26.65,35,97,4.12,SD,1699921919
211,akwanga,8.9167,8.3833,23.59,70,100,1.72,NG,1699921749
212,cockburn town,21.4612,-71.1419,28.13,76,16,8.32,TC,1699921819
213,wamba,8.9333,8.6,24.04,58,100,1.79,NG,1699921921
214,simanggang,1.2472,111.4528,26.99,94,20,1.03,MY,1699921921
215,caluula,11.9661,50.7569,26.93,77,99,3.99,SO,1699921922
216,salekhard,66.53,66.6019,-20.66,100,100,0.36,RU,1699921923
217,hauterive,46.0901,3.4459,18.42,85,100,3.91,FR,1699921923
218,saint-joseph,-21.3667,55.6167,22.48,79,65,2.8,RE,1699921924
219,wuhai,39.6647,106.8122,1.01,26,0,2.47,CN,1699921925
220,vadso,70.0744,29.7487,-7.91,86,40,6.17,NO,1699921804
221,inebolu,41.9747,33.7608,13.87,95,100,9.13,TR,1699921926
222,bodaybo,57.8506,114.1933,-8.44,95,100,1.05,RU,1699921927
223,blythe,33.6103,-114.5964,26.25,21,0,2.06,US,1699921928
224,west island,-12.1568,96.8225,25.99,83,75,3.6,CC,1699921929
225,kruisfontein,-34.0033,24.7314,12.12,89,60,2.6,ZA,1699921930
226,kaga bandoro,6.9896,19.1874,22.12,95,100,1.02,CF,1699921930
227,kirakira,-10.4544,161.9205,27.46,79,96,1.71,SB,1699921931
228,gereida,11.2811,25.1414,29.21,33,52,3.24,SD,1699921932
229,bandarbeyla,9.4942,50.8122,26.46,83,99,7.68,SO,1699921932
230,guiratinga,-16.3494,-53.7583,27.16,33,5,1.89,BR,1699921933
231,rongelap,11.1635,166.8941,28.14,82,100,7.51,MH,1699921934
232,island harbour,50.724,-1.2758,13.85,85,38,3.13,GB,1699921935
233,wundanyi,-3.4019,38.364,16.8,95,28,0.69,KE,1699921936
234,puerto lempira,15.2667,-83.7667,26.12,90,100,3.11,HN,1699921936
235,ust'-ordynskiy,52.805,104.7508,-5.93,88,100,0.48,RU,1699921937
236,azuaga,38.2667,-5.6833,13.87,86,8,0.75,ES,1699921938
237,pisco,-13.7,-76.2167,20.01,88,0,5.14,PE,1699921799
238,christchurch,-43.5333,172.6333,24.12,41,49,6.17,NZ,1699921762
239,west odessa,31.8424,-102.4988,12.05,86,100,4.12,US,1699921939
240,peace river,56.2501,-117.286,-4.83,86,100,3.09,CA,1699921715
241,ocean city,39.2776,-74.5746,8.32,73,78,3.01,US,1699921941
242,ellsworth,44.5434,-68.4195,-0.26,88,0,1.54,US,1699921941
243,ta`u,-14.2336,-169.5144,28.29,80,22,5.98,AS,1699921942
244,kasama,-10.2129,31.1808,17.33,94,100,1.29,ZM,1699921943
245,port mathurin,-19.6833,63.4167,24.05,94,20,0.0,MU,1699921943
246,borba,-4.3878,-59.5939,28.47,59,97,0.09,BR,1699921944
247,inda silase,14.1031,38.2829,16.27,66,92,2.75,ET,1699921945
248,kondopoga,62.2057,34.2614,0.41,94,100,3.06,RU,1699921945
249,greymouth,-42.4667,171.2,13.71,97,100,4.37,NZ,1699921946
250,hood river,45.7054,-121.5215,12.23,74,0,2.68,US,1699921733
251,la'ie,21.6477,-157.9253,30.98,72,78,4.92,US,1699921947
252,szczytno,53.5626,20.9875,1.96,93,100,2.57,PL,1699921831
253,titahari,26.6667,87.2833,19.6,63,89,1.66,NP,1699921949
254,bahia blanca,-38.7196,-62.2724,18.83,27,45,5.89,AR,1699921752
255,east london,-33.0153,27.9116,15.99,74,100,2.67,ZA,1699921786
256,guangyuan,32.442,105.823,9.52,86,100,0.32,CN,1699921950
257,saint-pierre,-21.3393,55.4781,23.09,60,61,2.57,RE,1699921951
258,buckie,57.6757,-2.9624,7.88,96,99,7.31,GB,1699921653
259,bereznik,62.8551,42.7072,0.32,98,100,1.53,RU,1699921952
260,dapa,9.7594,126.0531,28.3,76,56,2.08,PH,1699921953
261,leua,48.2156,18.6071,11.39,97,100,2.18,SK,1699921954
262,korop,51.5664,32.9586,2.15,94,9,3.46,UA,1699921954
263,labrador city,52.9463,-66.9114,-9.05,86,100,1.54,CA,1699921956
264,taulaga,-11.0553,-171.0883,28.8,75,100,4.89,AS,1699921776
265,paita,-5.0892,-81.1144,20.6,83,10,7.91,PE,1699921958
266,colonia,50.9333,6.95,12.71,75,20,7.72,DE,1699921958
267,cabedelo,-6.9811,-34.8339,25.37,79,62,3.94,BR,1699921959
268,saint-francois,46.4154,3.9054,18.69,70,100,4.63,FR,1699921960
269,daru,-9.0763,143.2092,28.95,58,28,3.56,PG,1699921960
270,semnan,35.5729,53.3971,12.96,46,95,0.57,IR,1699921961
271,el calafate,-50.3408,-72.2768,3.94,54,100,5.17,AR,1699921962
272,mount isa,-20.7333,139.5,35.87,17,0,5.14,AU,1699921962
273,amga,60.8953,131.9608,-23.29,100,100,0.92,RU,1699921963
274,kolokani,13.5728,-8.0339,22.7,13,0,3.85,ML,1699921963
275,mirabad,30.4362,61.8383,17.99,35,63,3.17,AF,1699921738
276,alakurtti,66.9672,30.3491,-14.04,98,93,2.06,RU,1699921965
277,guajara mirim,-10.7828,-65.3394,27.9,60,71,1.06,BR,1699921965
278,kulhudhuffushi,6.6221,73.07,27.57,74,31,1.93,MV,1699921965
279,szombathely,47.2309,16.6216,9.47,77,97,4.77,HU,1699921966
280,dunedin,-45.8742,170.5036,15.22,69,56,3.52,NZ,1699921720
281,sengkang,-4.1279,120.0297,32.43,50,94,1.91,ID,1699921967
282,northam,51.0333,-4.2167,13.12,90,100,11.18,GB,1699921967
